baseline,bh_family,block_degrees,bootstrap_se,cluster_excludes_zero,conf_high,conf_high_10,conf_high_5,conf_low,conf_low_10,conf_low_5,contrast,df_constraint,estimate,event_min_days,evidence_freeze_version,gap_days,latitude,n_blocks,n_blocks_10,n_blocks_5,p_value,p_value_bh,pheno_type,record_type,replicates,sign_stability,sign_stability_10,sign_stability_5,spatial_10_excludes_zero,spatial_5_excludes_zero,spatially_robust,spec_version,statistic,std_error,strategy,test
all_year_linear_loo,,,,,7.878181358732968,,,1.39567356516543,,,event_effect_PA,,4.636927461949199,3,,0,24.0,,,,0.0050485710332723,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.6537313554485522,overlap_weighted_adjusted,
all_year_linear_loo,,,,,8.315877863222287,,,2.411547969282439,,,event_effect_UA,,5.3637129162523625,3,,0,24.0,,,,0.0003694332798732,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.5062342830053124,overlap_weighted_adjusted,
all_year_linear_loo,,,,,5.08519720873639,,,-3.631626300130061,,,UA_minus_PA_event_effect,,0.7267854543031642,3,,0,24.0,,,,0.7437941072218925,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,2.223720327930422,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.82059792275142,,,1.5913685914909663,,,event_effect_PA,,4.7059832571211935,3,,0,24.25,,,,0.0030626377582668,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.5891183155394233,overlap_weighted_adjusted,
all_year_linear_loo,,,,,8.224235842256332,,,2.566453891260607,,,event_effect_UA,,5.39534486675847,3,,0,24.25,,,,0.0001854150886578,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.443338243871721,overlap_weighted_adjusted,
all_year_linear_loo,,,,,4.87170232258491,,,-3.492979103310357,,,UA_minus_PA_event_effect,,0.6893616096372762,3,,0,24.25,,,,0.7466539789082538,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,2.1338865131897338,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.764357356322884,,,1.7844391684891616,,,event_effect_PA,,4.774398262406023,3,,0,24.5,,,,0.0017499015497186,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.5255173653706278,overlap_weighted_adjusted,
all_year_linear_loo,,,,,8.134397448732383,,,2.7189829558809944,,,event_effect_UA,,5.4266902023066885,3,,0,24.5,,,,8.562322375198388e-05,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.3815086745387892,overlap_weighted_adjusted,
all_year_linear_loo,,,,,4.661330119018653,,,-3.35674623921732,,,UA_minus_PA_event_effect,,0.6522919399006664,3,,0,24.5,,,,0.7498049103364863,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,2.045465228310708,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.709550151740018,,,1.974381553299939,,,event_effect_PA,,4.841965852519978,3,,0,24.75,,,,0.0009348507055615,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.4630800983279175,overlap_weighted_adjusted,
all_year_linear_loo,,,,,8.046597104045436,,,2.868715901450166,,,event_effect_UA,,5.457656502747801,3,,0,24.75,,,,3.600391712006967e-05,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.3209123339606583,overlap_weighted_adjusted,
all_year_linear_loo,,,,,4.454622252540204,,,-3.2232409520845566,,,UA_minus_PA_event_effect,,0.6156906502278234,3,,0,24.75,,,,0.7532624768593388,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.9586745637131,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.656280559041159,,,2.1606782453175537,,,event_effect_PA,,4.908479402179356,3,,0,25.0,,,,0.0004632684174143,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.4019651271840237,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.961088977112377,,,3.015213718752808,,,event_effect_UA,,5.488151347932592,3,,0,25.0,,,,1.3631329983198203e-05,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.2617260565428758,overlap_weighted_adjusted,
all_year_linear_loo,,,,,4.252142905983492,,,-3.09279901447702,,,UA_minus_PA_event_effect,,0.5796719457532359,3,,0,25.0,,,,0.7570434444019204,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.8737441040744824,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.604667425780352,,,2.342797146420555,,,event_effect_PA,,4.973732286100454,3,,0,25.25,,,,0.0002111621548395,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.3423385125606284,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.878148709015223,,,3.158015926408469,,,event_effect_UA,,5.518082317711846,3,,0,25.25,,,,4.592277754403233e-06,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.204137632078589,overlap_weighted_adjusted,
all_year_linear_loo,,,,,4.054480613107796,,,-2.965780549885011,,,UA_minus_PA_event_effect,,0.544350031611393,3,,0,25.25,,,,0.7611654922026063,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.790915858242226,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.554844769772947,,,2.5201909882261853,,,event_effect_PA,,5.037517878999566,3,,0,25.5,,,,8.775943772993502e-05,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.284374055150877,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.798074841735444,,,3.2966391421372534,,,event_effect_UA,,5.547356991936349,3,,0,25.5,,,,1.3603043422771464e-06,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.1483465347080206,overlap_weighted_adjusted,
all_year_linear_loo,,,,,3.862249766223096,,,-2.8425715403495304,,,UA_minus_PA_event_effect,,0.5098391129367831,3,,0,25.5,,,,0.7656467200997685,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.7104450284442474,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.506961908025468,,,2.692297203160506,,,event_effect_PA,,5.099629555592987,3,,0,25.75,,,,3.296742241295148e-05,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.2282533615011355,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.721189664822019,,,3.430576236091746,,,event_effect_UA,,5.575882950456882,3,,0,25.75,,,,3.502959242994917e-07,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.094564354899907,overlap_weighted_adjusted,
all_year_linear_loo,,,,,3.676091525804452,,,-2.723584736076661,,,UA_minus_PA_event_effect,,0.4762533948638952,3,,0,25.75,,,,0.7705048450977764,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.6326004743865048,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.461182902421138,,,2.8585384787728905,,,event_effect_PA,,5.159860690597014,3,,0,26.0,,,,1.1103229896801717e-05,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.174165561192277,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.647839071254686,,,3.5592964749937783,,,event_effect_UA,,5.603567773124232,3,,0,26.0,,,,7.76643426110608e-08,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.0430147259109888,overlap_weighted_adjusted,
all_year_linear_loo,,,,,3.496673732423071,,,-2.6092595673686336,,,UA_minus_PA_event_effect,,0.4437070825272184,3,,0,26.0,,,,0.775755964211774,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.5576646683190425,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.417685009901966,,,3.0183243075539177,,,event_effect_PA,,5.218004658727942,3,,0,26.25,,,,3.3297000397945536e-06,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.1223065161017358,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.578390865587679,,,3.682247213990686,,,event_effect_UA,,5.630319039789183,3,,0,26.25,,,,1.4729077428741748e-08,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.9939324605781732,overlap_weighted_adjusted,
all_year_linear_loo,,,,,3.324689279199713,,,-2.5000605170772308,,,UA_minus_PA_event_effect,,0.4123143810612411,3,,0,26.25,,,,0.7814127337857432,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.4859328646398169,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.376655747980676,,,3.171053921423456,,,event_effect_PA,,5.273854834702066,3,,0,26.5,,,,8.850292672936186e-07,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.072877323188199,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.513230806667773,,,3.798857853937264,,,event_effect_UA,,5.656044330302518,3,,0,26.5,,,,2.386356359219221e-09,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.9475615322600336,overlap_weighted_adjusted,
all_year_linear_loo,,,,,3.160852244117354,,,-2.396473252916449,,,UA_minus_PA_event_effect,,0.3821894956004524,3,,0,26.5,,,,0.7874817983407849,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.417711126548569,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.338288118437684,,,3.3161210680336817,,,event_effect_PA,,5.327204593235683,3,,0,26.75,,,,2.082786218773592e-07,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.0260818775575324,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.452755525048477,,,3.9085469239815698,,,event_effect_UA,,5.680651224515024,3,,0,26.75,,,,3.3241416255416247e-10,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.9041514612062196,overlap_weighted_adjusted,
all_year_linear_loo,,,,,3.0058909285662128,,,-2.2989976660075317,,,UA_minus_PA_event_effect,,0.3534466312793408,3,,0,26.75,,,,0.7939603099407894,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.3533127742188196,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.302773495694115,,,3.4529211223960545,,,event_effect_PA,,5.377847309045085,3,,0,27.0,,,,4.356975907697e-08,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.9821232440149932,overlap_weighted_adjusted,
