spec_version,gap_days,event_min_days,dose_metric,pheno_type,outcome,model_form,boundary_excluded,latitude,landscape_type,dose,reference_dose,estimate,std_error,conf_low,conf_high,p_value
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,1.0,1.0,0.0,0.0,0.0,0.0,
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,1.25,1.0,0.0868173447177086,0.0650404442658599,-0.0406595835818614,0.2142942730172787,0.1819349695347696
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,1.5,1.0,0.1738070638866633,0.1300058747156835,-0.0809997683347028,0.4286138961080295,0.1812497313543518
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,1.75,1.0,0.2611415319581036,0.1948213500235124,-0.1207012975074524,0.6429843614236597,0.1801103415501509
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,2.0,1.0,0.3489931233832748,0.2594120744301954,-0.1594451996547321,0.8574314464212818,0.1785208332418378
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,2.25,1.0,0.437534212613424,0.3237034720005278,-0.1969129341781802,1.0719813594050285,0.1764868971593175
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,2.5,1.0,0.5269371740997886,0.3876212626689309,-0.2327865403732562,1.2866608885728334,0.1740159250816353
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,2.75,1.0,0.6173743822936162,0.4510915407035658,-0.2667487912160566,1.501497555803289,0.171117064318213
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,3.0,1.0,0.7090182116461516,0.5140408562483474,-0.2984833531827404,1.7165197764750435,0.1678012821193296
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,3.25,1.0,0.8020410366086361,0.5763963006401329,-0.3276749534681458,1.931757026685418,0.1640814385592308
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,3.5,1.0,0.8966152316323139,0.6380855962448461,-0.3540095560613507,2.147240019325978,0.1599723660348126
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,3.75,1.0,0.9929131711684304,0.6990371916124272,-0.3771745482459516,2.3630008905828124,0.1554909530562092
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,4.0,1.0,1.0911072296682267,0.7591803628167314,-0.396858939222618,2.5790733985590717,0.1506562294646741
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,4.25,1.0,1.1913697815829494,0.8184453219241776,-0.412753572703729,2.795493135869628,0.1454894495924952
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,4.5,1.0,1.293873201363839,0.8767633336249442,-0.4245513555063274,3.0122977582340056,0.1400141691766689
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,4.75,1.0,1.398789863462138,0.9340668411641072,-0.4319475043726073,3.2295272312968835,0.1342563110551256
