spec_version,estimand,pheno_type,moderator,moderator_class,outcome,effect_scale,latitude,landscape_type,moderator_value,estimate,std_error,conf_low,conf_high,p_value
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,249.0,-13.521758848186344,1.2085198376238684,-15.89041420453132,-11.153103491841367,4.632050062139632e-29
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,249.0,-5.104452142425416,1.570760297768275,-8.183085754396647,-2.0258185304541856,0.0011553912018619
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,298.2229166666666,-12.677811914074464,1.2104037294167056,-15.050159630484172,-10.305464197664756,1.1369030174718049e-25
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,298.2229166666666,-4.913157883194529,1.4814549586522583,-7.816756246871231,-2.0095595195178277,0.0009117185373853
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,347.4458333333332,-12.272269676336736,1.2438808487785329,-14.710231341001776,-9.8343080116717,5.838300677166821e-23
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,347.4458333333332,-5.07637616161022,1.432606884167405,-7.884234058582479,-2.268518264637962,0.0003949226514162
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,396.6687499999998,-12.157631971723765,1.2769440835892654,-14.660396385830229,-9.6548675576173,1.717179323214182e-21
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,396.6687499999998,-5.467272242107022,1.4038467272287745,-8.218761267289846,-2.7157832169241987,9.840404713158734e-05
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,445.8916666666664,-12.244432577360143,1.3013799602760066,-14.795090429703285,-9.693774725017004,5.018009983425428e-21
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,445.8916666666664,-6.010091005999801,1.3866705112145246,-8.727915266404015,-3.292266745595588,1.4629896082519172e-05
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,495.114583333333,-12.47515571510089,1.3171523140535084,-15.056726812799356,-9.893584617402423,2.7636018228779304e-21
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,495.114583333333,-6.656908162784649,1.3778524731652635,-9.357449386198008,-3.956366939371292,1.3560017506328196e-06
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,544.3374999999996,-12.811139840116798,1.3267203564812582,-15.411463956376206,-10.21081572385739,4.624963733876512e-22
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,544.3374999999996,-7.376050386649723,1.3764529141488475,-10.073848524796668,-4.678252248502778,8.38053340518634e-08
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,593.5604166666662,-13.225465200318697,1.333069777581297,-15.838233953256855,-10.612696447380532,3.3715642944108663e-23
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,593.5604166666662,-8.145856479139447,1.3824397466352658,-10.855388593341246,-5.436324364937648,3.8067891871965994e-09
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,642.7833333333328,-13.69884630563122,1.3390364895259197,-16.32330959908697,-11.074383012175472,1.4495599044446384e-24
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,642.7833333333328,-8.951103230912167,1.396042562111719,-11.687296373536158,-6.2149100882881765,1.4384013069156275e-10
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,692.0062499999995,-14.217139366147183,1.347077681470157,-16.85736310620641,-11.576915626087956,4.864817618806023e-26
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,692.0062499999995,-9.780854125073631,1.417452946116245,-12.559010849241666,-7.002697400905597,5.189191522809137e-12
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,741.2291666666661,-14.76976676418296,1.35919795281316,-17.433745799557325,-12.105787728808597,1.6640818913090056e-27
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,741.2291666666661,-10.627110728138735,1.4466988570313428,-13.462588384395428,-7.791633071882043,2.0458460326180555e-13
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,790.4520833333327,-15.346426538052508,1.3767860647763364,-18.04487763943076,-12.647975436674258,7.442960083930566e-29
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,790.4520833333327,-11.476843990236445,1.4832250336192427,-14.38391163709837,-8.569776343374516,1.0118111997031156e-14
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,839.6749999999993,-15.92968533432489,1.3996769759998142,-18.67300179727446,-13.186368871375322,5.2016345487522846e-30
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,839.6749999999993,-12.290338160835027,1.5242866317595003,-15.277885061199516,-9.30279126047054,7.443850944580541e-16
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,888.8979166666659,-16.50463367598349,1.4262612375195944,-19.300054334067426,-13.70921301789956,5.716373427642051e-31
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,888.8979166666659,-13.032602888816186,1.5663088701787335,-16.102511863032127,-9.962693914600244,8.753172413368773e-17
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,938.1208333333324,-17.060862080596955,1.4543411123094208,-19.911318281959343,-14.210405879234568,8.841768198983041e-32
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,938.1208333333324,-13.680358272284693,1.6060773021820056,-16.828211940948677,-10.532504603620708,1.625139488690475e-17
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,987.3437499999992,-17.591169543664837,1.4817332511020225,-20.495313350520245,-14.687025736809428,1.6542079051603415e-32
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,987.3437499999992,-14.218545345303705,1.6411643966398148,-17.43516845542715,-11.001922235180258,4.5672021912715496e-18
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,1036.5666666666657,-18.090664612854106,1.5066211024726477,-21.04358771204852,-15.137741513659684,3.2473719973568816e-33
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,1036.5666666666657,-14.637918853960372,1.670090150108491,-17.911235399108108,-11.364602308812636,1.8719535604455163e-18
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,1085.7895833333323,-18.55613079418801,1.5277171061383437,-21.55040130078492,-15.561860287591102,6.0011088279352184e-34
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,1085.7895833333323,-14.933364255403646,1.6923333567819467,-18.25027668453204,-11.616451826275256,1.1031710053917648e-18
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,1135.012499999999,-18.98557283376364,1.5443084708028176,-22.012361817557288,-15.958783849969992,9.767820451860628e-35
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,1135.012499999999,-15.102706988051914,1.7082808101246183,-18.45087585137707,-11.754538124726755,9.49669480059655e-19
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,1184.2354166666655,-19.377888712279624,1.556244450575119,-22.428071786547186,-16.327705638012066,1.368981322610866e-35
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,1184.2354166666655,-15.14586148408582,1.719161679882279,-18.515356460256463,-11.776366507915176,1.2511528729765017e-18
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,1233.458333333332,-19.73263023783455,1.5639012534380998,-22.797820369950276,-16.667440105718825,1.6895911445427477e-36
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,1233.458333333332,-15.064217845091036,1.726983199029603,-18.449042717094827,-11.679392973087246,2.712821512216764e-18
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,1282.6812499999987,-20.049826862918373,1.5681427970887534,-23.12333026782823,-16.976323458008515,1.970423256193096e-37
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,1282.6812499999987,-14.86019677804606,1.734462498834045,-18.25968080829613,-11.460712747795986,1.0565569729371168e-17
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,1331.904166666665,-20.32985512534449,1.5702830415275406,-23.407553332272485,-17.252156918416496,2.455340813487542e-38
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,1331.904166666665,-14.536924929165508,1.74493509734162,-17.95693487531498,-11.11691498301604,8.021255258357733e-17
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,1381.127083333332,-20.57334134379355,1.572047253197411,-23.6544973420556,-17.492185345531507,3.908725272905179e-39
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,UA,1381.127083333332,-14.097997181068564,1.7622128742196226,-17.551870947631837,-10.644123414505293,1.242506368494042e-15
A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,35,PA,1430.3499999999983,-20.7810887705384,1.5755238994816367,-23.869058870304507,-17.693118670772286,1.0024554266936322e-39
